cas_number,agent,iarc_group,year
96-09-3,"Styrene-7,8-oxide",2A,
96-12-8,"1,2-Dibromo-3-chloropropane",2B,1999
96-13-9,"2,3-Dibromopropan-1-ol",2B,2000
96-18-4,"1,2,3-Trichloropropane",2A,1995
96-23-1,"1,3-Dichloro-2-propanol",2B,2013
96-24-2,"3-Monochloro-1,2-propanediol",2B,2013
96-33-3,Methyl acrylate,2B,
96-45-7,Ethylenethiourea,3,2001
96-48-0,gamma-Butyrolactone,3,1999
97-53-0,Eugenol,3,1987
97-56-3,ortho-Aminoazotoluene,2B,1987
97-77-8,Disulfiram,3,1987
98-00-0,Furfuryl alcohol,2B,
98-01-1,Furfural,3,1995
98-82-8,Cumene,2B,2013
98-83-9,a-Methylstyrene,2B,2013
98-95-3,Nitrobenzene,2B,1996
99-55-8,5-Nitro-ortho-toluidine,3,1990
99-56-9,"1,2-Diamino-4-nitrobenzene",3,1987
99-57-0,2-Amino-4-nitrophenol,3,1993
99-59-2,5-Nitro-ortho-anisidine,3,1987
99-80-9,"N-Methyl-N,4-dinitrosoaniline",3,1987
99-97-8,"N,N-Dimethyl-p-toluidine",2B,2018
100-00-5,4-Chloronitrobenzene,2B,
100-17-4,para-Nitroanisole,2B,
100-40-3,4-Vinylcyclohexene,2B,1994
100-41-4,Ethylbenzene,2B,2000
100-42-5,Styrene,2A,
100-75-4,N-Nitrosopiperidine,2B,1987
101-14-4,"4,4'-Methylenebis(2-chloroaniline) (MOCA)",1,2012
101-21-3,Chloropropham,3,1987
101-25-7,Dinitrosopentamethylenetetramine,3,1987
101-61-1,"Michler’s base [4,4´-methylenebis(N,N-dimethyl) benzenamine]",2B,2010
101-68-8,"4,4'-Methylenediphenyl diisocyanate",3,1999
101-77-9,"4,4'-Methylenedianiline",2B,1987
101-80-4,"4,4'-Diaminodiphenyl ether",2B,1987
101-90-6,Diglycidyl resorcinol ether,2B,1999
102-50-1,meta-Cresidine,3,1987
102-71-6,Triethanolamine,3,2000
103-03-7,Phenicarbazide,3,1987
103-11-7,2-Ethylhexyl acrylate,2B,
103-23-1,Di(2-ethylhexyl) adipate,3,2000
103-33-3,Azobenzene,3,1987
103-90-2,Paracetamol (Acetaminophen),3,1999
104-94-9,para-Anisidine,3,1987
105-11-3,para-Benzoquinone dioxime,3,1999
105-55-5,"N,N'-Diethylthiourea",3,2001
105-74-8,Lauroyl peroxide,3,1999
106-46-7,para-Dichlorobenzene,2B,1999
106-47-8,para-Chloroaniline,2B,1993
106-50-3,para-Phenylenediamine,3,1987
106-51-4,para-Quinone,3,1999
106-87-6,4-Vinylcyclohexene diepoxide,2B,1994
106-88-7,"1,2-Epoxybutane",2B,1999
106-89-8,Epichlorohydrin,2A,1999
106-93-4,Ethylene dibromide,2A,1999
106-94-5,1-Bromopropane,2B,2018
106-99-0,"1,3-Butadiene",1,2012
107-02-8,Acrolein,3,1995
107-05-1,Allyl chloride,3,1999
107-06-2,"1,2-Dichloroethane",2B,1999
107-13-1,Acrylonitrile,2B,1999
107-14-2,Chloroacetonitrile,3,1999
108-05-4,Vinyl acetate,2B,1995
108-10-1,Methyl isobutyl ketone,2B,2013
108-30-5,Succinic anhydride,3,1987
